,period,future,node,Data,Regressor,Score,Params
70,60,7,dam_Jinghong,Exclusive,SVR,-2.306004767883694,"{'C': 15, 'kernel': 'linear'}"
71,60,7,dam_Jinghong,Exclusive,MLP,-2.451286433028458,"{'activation': 'relu', 'hidden_layer_sizes': (128, 128, 128)}"
72,60,7,dam_Nam Ngum 5,Self,Ridge,0.8125114194025637,{'alpha': 0}
73,60,7,dam_Nam Ngum 5,Self,SVR,0.8158432124792744,"{'C': 20, 'kernel': 'linear'}"
74,60,7,dam_Nam Ngum 5,Self,MLP,0.7007745968499579,"{'activation': 'relu', 'hidden_layer_sizes': (128,)}"
75,60,7,dam_Nam Ngum 5,Neighborhood,Ridge,0.782840155028256,{'alpha': 0}
76,60,7,dam_Nam Ngum 5,Neighborhood,SVR,0.7913904017314027,"{'C': 15, 'kernel': 'linear'}"
77,60,7,dam_Nam Ngum 5,Neighborhood,MLP,-0.49438500344451786,"{'activation': 'relu', 'hidden_layer_sizes': (128, 128, 128)}"
78,60,7,dam_Nam Ngum 5,Exclusive,Ridge,-0.6052766978588078,{'alpha': 0}
79,60,7,dam_Nam Ngum 5,Exclusive,SVR,-0.6900304248895941,"{'C': 15, 'kernel': 'linear'}"
80,60,7,dam_Nam Ngum 5,Exclusive,MLP,-1.652257326865291,"{'activation': 'relu', 'hidden_layer_sizes': (128,)}"
81,60,7,dam_Nam Ngum 2,Self,Ridge,0.9535665090751796,{'alpha': 0}
82,60,7,dam_Nam Ngum 2,Self,SVR,0.9541308426842569,"{'C': 15, 'kernel': 'linear'}"
83,60,7,dam_Nam Ngum 2,Self,MLP,0.8362095457371977,"{'activation': 'relu', 'hidden_layer_sizes': (128, 128, 128)}"
84,60,7,dam_Nam Ngum 2,Neighborhood,Ridge,0.9462777563337689,{'alpha': 0}
85,60,7,dam_Nam Ngum 2,Neighborhood,SVR,0.856691699856275,"{'C': 15, 'kernel': 'rbf'}"
86,60,7,dam_Nam Ngum 2,Neighborhood,MLP,0.8420747395591425,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
87,60,7,dam_Nam Ngum 2,Exclusive,Ridge,0.3077509220925053,{'alpha': 0}
88,60,7,dam_Nam Ngum 2,Exclusive,SVR,0.2961658269694797,"{'C': 15, 'kernel': 'rbf'}"
89,60,7,dam_Nam Ngum 2,Exclusive,MLP,0.26605937117441614,"{'activation': 'relu', 'hidden_layer_sizes': (128,)}"
90,60,7,dam_Nam Ngum,Self,Ridge,0.7279622656887959,{'alpha': 0}
91,60,7,dam_Nam Ngum,Self,SVR,0.7464996829653074,"{'C': 15, 'kernel': 'linear'}"
92,60,7,dam_Nam Ngum,Self,MLP,0.23827130731118773,"{'activation': 'relu', 'hidden_layer_sizes': (128, 128, 128)}"
93,60,7,dam_Nam Ngum,Neighborhood,Ridge,0.7059972743245937,{'alpha': 0}
94,60,7,dam_Nam Ngum,Neighborhood,SVR,-0.11306451874670165,"{'C': 15, 'kernel': 'rbf'}"
95,60,7,dam_Nam Ngum,Neighborhood,MLP,0.12702066362431585,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
96,60,7,dam_Nam Ngum,Exclusive,Ridge,0.4337827179370328,{'alpha': 0}
97,60,7,dam_Nam Ngum,Exclusive,SVR,0.39265856900610463,"{'C': 15, 'kernel': 'linear'}"
98,60,7,dam_Nam Ngum,Exclusive,MLP,-0.10446015447531098,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
99,60,7,dam_Nam Leuk,Self,Ridge,0.960185003437308,{'alpha': 0}
100,60,7,dam_Nam Leuk,Self,SVR,0.9627344736325496,"{'C': 20, 'kernel': 'linear'}"
101,60,7,dam_Nam Leuk,Self,MLP,0.9290942882394725,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
102,60,7,dam_Nam Leuk,Neighborhood,Ridge,0.9600636274382041,{'alpha': 0}
103,60,7,dam_Nam Leuk,Neighborhood,SVR,0.9621164037259595,"{'C': 20, 'kernel': 'linear'}"
104,60,7,dam_Nam Leuk,Neighborhood,MLP,0.8217237078330005,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
105,60,7,dam_Nam Leuk,Exclusive,Ridge,0.13372488126687854,{'alpha': 0}
106,60,7,dam_Nam Leuk,Exclusive,SVR,0.3065418397572719,"{'C': 20, 'kernel': 'linear'}"
107,60,7,dam_Nam Leuk,Exclusive,MLP,-0.20444507920236488,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
108,60,7,dam_Nam Mang 3,Self,Ridge,0.9110617607767635,{'alpha': 0}
109,60,7,dam_Nam Mang 3,Self,SVR,0.7146659660477018,"{'C': 15, 'kernel': 'rbf'}"
110,60,7,dam_Nam Mang 3,Self,MLP,0.747906958194202,"{'activation': 'relu', 'hidden_layer_sizes': (128, 128, 128)}"
111,60,7,dam_Nam Mang 3,Neighborhood,Ridge,0.902784563931947,{'alpha': 0}
112,60,7,dam_Nam Mang 3,Neighborhood,SVR,0.6355010226561989,"{'C': 15, 'kernel': 'rbf'}"
113,60,7,dam_Nam Mang 3,Neighborhood,MLP,0.7245548373900811,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
114,60,7,dam_Nam Mang 3,Exclusive,Ridge,-0.12224551998564248,{'alpha': 0}
115,60,7,dam_Nam Mang 3,Exclusive,SVR,-0.9292801114388094,"{'C': 15, 'kernel': 'rbf'}"
116,60,7,dam_Nam Mang 3,Exclusive,MLP,-0.5866232369138424,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
117,60,7,rw_242,Self,Ridge,0.23356634804956122,{'alpha': 0}
118,60,7,rw_242,Self,SVR,0.378082748310397,"{'C': 20, 'kernel': 'linear'}"
119,60,7,rw_242,Self,MLP,-0.3094349115363366,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
120,60,7,rw_242,Neighborhood,Ridge,0.039223914113856395,{'alpha': 0}
121,60,7,rw_242,Neighborhood,SVR,-0.42423563214998317,"{'C': 20, 'kernel': 'rbf'}"
122,60,7,rw_242,Neighborhood,MLP,-0.8789173910258565,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
123,60,7,rw_242,Exclusive,Ridge,-2.595912388954912,{'alpha': 0}
124,60,7,rw_242,Exclusive,SVR,-1.1941158872060695,"{'C': 15, 'kernel': 'rbf'}"
125,60,7,rw_242,Exclusive,MLP,-2.1253780061665157,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
126,60,7,dam_Nam Theun 2,Self,Ridge,0.9576831030630234,{'alpha': 0}
127,60,7,dam_Nam Theun 2,Self,SVR,0.956631039415771,"{'C': 15, 'kernel': 'linear'}"
128,60,7,dam_Nam Theun 2,Self,MLP,0.9346881599780085,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
129,60,7,dam_Nam Theun 2,Neighborhood,Ridge,0.9581351159596367,{'alpha': 0}
130,60,7,dam_Nam Theun 2,Neighborhood,SVR,0.9559712497760118,"{'C': 20, 'kernel': 'linear'}"
